Serial Number,SDS101P2150051
Software Version,5.01.02.30
-0.03124,0.264
-0.031219997,0.264
-0.0312,0.272
-0.03118,0.272
-0.03116,0.272
-0.03114,0.28
-0.03112,0.272
-0.0311,0.272
-0.03108,0.272
-0.03106,0.264
-0.03104,0.28
-0.03102,0.264
-0.031,0.272
-0.030979997,0.28
-0.03096,0.272
-0.03094,0.264
-0.03092,0.272
-0.0309,0.272
-0.03088,0.264
-0.03086,0.28
-0.03084,0.28
-0.03082,0.28
-0.0308,0.28
-0.03078,0.28
-0.03076,0.28
-0.03074,0.28
-0.03072,0.28
-0.0307,0.272
-0.03068,0.28
-0.03066,0.28
-0.03064,0.28
-0.03062,0.28
-0.030599997,0.28
-0.03058,0.28
-0.03056,0.28
-0.03054,0.28
-0.03052,0.28
-0.0305,0.28
-0.03048,0.28
-0.03046,0.28
-0.03044,0.28
-0.03042,0.28
-0.0304,0.28
-0.03038,0.28
-0.030359997,0.28
-0.03034,0.28
-0.03032,0.28
-0.0303,0.28
-0.03028,0.288
-0.03026,0.28
-0.03024,0.28
-0.03022,0.288
-0.0302,0.28
-0.03018,0.28
-0.03016,0.304
-0.03014,0.288
-0.030119997,0.28
-0.0301,0.288
-0.03008,0.28
-0.03006,0.28
-0.03004,0.288
-0.03002,0.28
-0.03,0.288
-0.02998,0.288
-0.02996,0.28
-0.02994,0.288
-0.02992,0.28
-0.0299,0.28
-0.029879997,0.288
-0.02986,0.288
-0.02984,0.28
-0.02982,0.288
-0.0298,0.288
-0.02978,0.28
-0.02976,0.288
-0.02974,0.288
-0.02972,0.288
-0.0297,0.288
-0.02968,0.288
-0.02966,0.28
-0.02964,0.288
-0.02962,0.288
-0.0296,0.28
-0.02958,0.288
-0.02956,0.288
-0.02954,0.28
-0.02952,0.288
-0.0295,0.288
-0.02948,0.288
-0.02946,0.288
-0.02944,0.288
-0.02942,0.288
-0.0294,0.296
-0.02938,0.288
-0.02936,0.288
-0.02934,0.288
-0.02932,0.288
-0.0293,0.296
-0.02928,0.288
-0.029259997,0.288
-0.02924,0.288
-0.02922,0.28
-0.0292,0.288
-0.02918,0.288
-0.02916,0.28
-0.02914,0.288
-0.02912,0.288
-0.0291,0.288
-0.02908,0.288
-0.02906,0.288
-0.02904,0.288
-0.029019997,0.28
-0.029,0.28
-0.02898,0.288
-0.02896,0.28
-0.02894,0.296
-0.02892,0.288
-0.0289,0.272
-0.02888,0.296
-0.02886,0.288
-0.02884,0.28
-0.02882,0.296
-0.0288,0.28
-0.028779997,0.28
-0.02876,0.296
-0.02874,0.264
-0.02872,0.288
-0.0287,0.288
-0.02868,0.288
-0.02866,0.296
-0.02864,0.288
-0.02862,0.296
-0.0286,0.288
-0.02858,0.288
-0.02856,0.288
-0.02854,0.28
-0.02852,0.28
-0.0285,0.288
-0.02848,0.288
-0.02846,0.28
-0.02844,0.288
-0.02842,0.28
-0.0284,0.288
-0.02838,0.28
-0.02836,0.296
-0.02834,0.288
-0.02832,0.28
-0.0283,0.288
-0.02828,0.288
-0.02826,0.28
-0.02824,0.288
-0.02822,0.296
-0.0282,0.288
-0.02818,0.296
-0.02816,0.288
-0.02814,0.28
-0.02812,0.296
-0.0281,0.28
-0.02808,0.296
-0.02806,0.296
-0.02804,0.288
-0.02802,0.296
-0.028,0.296
-0.02798,0.28
-0.02796,0.296
-0.02794,0.288
-0.027919997,0.288
-0.0279,0.296
-0.02788,0.288
-0.02786,0.288
-0.02784,0.288
-0.02782,0.296
-0.0278,0.28
-0.02778,0.288
-0.02776,0.288
-0.02774,0.288
-0.02772,0.28
-0.0277,0.296
-0.027679997,0.28
-0.02766,0.296
-0.02764,0.288
-0.02762,0.288
-0.0276,0.296
-0.02758,0.288
-0.02756,0.288
-0.02754,0.288
-0.02752,0.288
-0.0275,0.288
-0.02748,0.288
-0.02746,0.288
-0.02744,0.296
-0.02742,0.288
-0.0274,0.288
-0.02738,0.296
-0.02736,0.288
-0.02734,0.28
-0.02732,0.296
-0.0273,0.288
-0.02728,0.288
-0.02726,0.296
-0.02724,0.288
-0.02722,0.288
-0.0272,0.296
-0.02718,0.288
-0.02716,0.288
-0.02714,0.288
-0.02712,0.288
-0.0271,0.28
-0.02708,0.288
-0.02706,0.288
-0.02704,0.288
-0.02702,0.288
-0.027,0.288
-0.02698,0.288
-0.02696,0.288
-0.02694,0.28
-0.02692,0.288
-0.0269,0.288
-0.02688,0.288
-0.02686,0.288
-0.02684,0.288
-0.026819997,0.28
-0.0268,0.296
-0.02678,0.296
-0.02676,0.288
-0.02674,0.296
-0.02672,0.288
-0.0267,0.288
-0.02668,0.296
-0.02666,0.288
-0.02664,0.28
-0.02662,0.288
-0.0266,0.288
-0.026579997,0.28
-0.02656,0.288
-0.02654,0.288
-0.02652,0.288
-0.0265,0.288
-0.02648,0.288
-0.02646,0.28
-0.02644,0.288
-0.02642,0.288
-0.0264,0.28
-0.02638,0.288
-0.02636,0.288
-0.02634,0.288
-0.02632,0.288
-0.0263,0.28
-0.02628,0.28
-0.02626,0.288
-0.02624,0.288
-0.02622,0.296
-0.0262,0.288
-0.026179998,0.288
-0.02616,0.288
-0.026139998,0.288
-0.02612,0.288
-0.026099998,0.288
-0.02608,0.288
-0.02606,0.288
